id,name
aerospace,Aerospace
agriculture,Agriculture
cutomotive,Automotive
computers_electronics,Computers & Electronics
consumer_goods,Consumer Goods
education,Education
financial_services,Financial Service
gaming,Gaming
government,Government
hospitality,Hospitality
life_sciences,Life Sciences
healthcare,Healthcare
manufacturing,Manufacturing
marketing_advertising,Marketing & Advertising
media_entertainment,Media & Entertainment
mining,Mining
non_profit_organization,Non-Profit Organization
Ooil_gas,Oil & Gas
other,Other
power_utilities,Power & Utilities
professional_services,Professional Services
real_estate_construction,Real Estate & Construction
retail,Retail
software_internet,oftware & Internet
telecommunications,Telecommunications
transportation_logistics,Transportation & Logistics
travel,Travel
wholesale_wistribution,Wholesale & Distribution
